"trip_id","origin_airport","destination","destination_airport","seats","return_flight_booked","departure_time","return_time","checked_bags","trip_airline","destination_airport_lat","destination_airport_lon","base_fare_usd"
"393305-aaa5a41c991d49b99a4758048d1c6f1d","BNA","toronto","YZD","1","true","2022-11-16 11:00:00","2022-11-24 11:00:00","0","Delta Air Lines","43.862","-79.37","220.58"
"393309-d59219b2450d4f4e8c416224a3fc5683","YXU","new york","LGA","1","true","2022-11-12 10:00:00","2022-11-13 10:00:00","0","JetBlue Airways","40.64","-73.779","118.01"
"393310-0b7e7cb0e613415cad018a3942c711cf","SCK","san jose","SJI","1","true","2022-11-10 14:00:00","2022-11-13 14:00:00","0","Cebu Pacific","37.362","-121.929","15.71"
"393314-416e959cc6374d8cb16b126fbce2fbb6","DAL","quebec","YQB","1","true","2022-11-09 07:00:00","2022-11-11 07:00:00","0","Air Canada","46.788","-71.398","420.69"
"393316-160c4f464c63429da5cbcf52963d5cc0","LAS","edmonton","YED","1","true","2022-11-17 12:00:00","2022-11-21 12:00:00","1","Delta Air Lines","53.667","-113.467","341.21"
"393318-1009d4623bd24352bb9b26c00bec2a42","BFI","toronto","YZD","1","true","2023-01-26 20:00:00","2023-02-15 20:00:00","0","American Airlines","43.862","-79.37","625.96"
"393321-2074aee5d1464aadb5fdf39cbea89e65","YXD","phoenix","PHX","1","true","2022-11-14 07:00:00","2022-11-18 07:00:00","0","JetBlue Airways","33.535","-112.383","347.11"
"393329-a3ad09d6f96c418dbc70dcd2fd88a53a","PNE","louisville","LOU","1","true","2022-11-09 07:00:00","2022-11-11 07:00:00","1","Ryanair","38.228","-85.664","155.31"
"393337-5674b8bf8d904d5aa3bcd39c36be845c","YEG","los angeles","LAX","2","true","2022-11-09 16:00:00","2022-11-18 16:00:00","1","United Airlines","33.942","-118.408","779.08"
"393339-a39742a858c74bd4aa034d6ef740fdc2","YQB","chicago","ORD","1","true","2022-11-12 15:00:00","2022-11-16 15:00:00","0","Alaska Airlines","41.786","-87.752","264.65"
"393342-9c88351d2c7b49968cf323e99d808bf6","CLT","washington","DCA","1","true","2022-11-10 10:00:00","2022-11-10 10:00:00","2","Allegiant Air","38.852","-77.037","80.83"
"393343-8e9166d2d54e4032a91ebfca6812a9cc","SFO","new york","LGA","1","true","2022-11-10 10:00:00","2022-11-14 10:00:00","1","Delta Air Lines","40.64","-73.779","798.35"
"393351-759abaf0e2384c7496880798f8e69cc8","LGA","el paso","BIF","1","true","2022-11-12 07:00:00","2022-11-16 07:00:00","1","United Airlines","31.849","-106.38","598.3"
"393353-f153d0504e10454f8001b7b66379045b","YHZ","san jose","SJO","1","true","2022-11-12 07:00:00","2022-11-14 07:00:00","0","Spirit Airlines","37.362","-121.929","813.78"
"393355-13b550fb4efc4d10a6c40f9c208beace","YTZ","los angeles","LSQ","3","true","2022-11-14 11:00:00","2022-11-15 11:00:00","0","Delta Air Lines","33.942","-118.408","1686.83"
"393358-ebeb356d7a184f0eaf20567a1d0d7d28","HNL","new york","JFK","1","true","2022-11-10 14:00:00","2022-11-19 14:00:00","0","EVA Air","40.64","-73.779","1368.81"
"393359-8415b27dd3e346c3811fc0a0e27be8ad","PNE","new york","JFK","1","true","2022-11-14 13:00:00","2022-11-17 13:00:00","0","KLM Royal Dutch Airlines","40.64","-73.779","25.32"
"393360-cc98d1f1dd1b4980bf1d1c56a92a5295","OKC","new york","JFK","1","true","2023-01-27 16:00:00","2023-02-06 16:00:00","0","Transaero Airlines","40.64","-73.779","412.63"
"393361-69f6152fb3e0403ba99cf859ba8705d0","LCK","chicago","ORD","1","true","2022-11-11 07:00:00","2022-11-15 07:00:00","2","American Airlines","41.786","-87.752","77.68"
"393362-e70e965f259643ac8b561dba09f4eb97","YHU","los angeles","LAX","2","true","2022-11-09 13:00:00","2022-11-12 13:00:00","0","Alaska Airlines","33.942","-118.408","1356.88"
"393366-8828f66cc76344f4adc0a45de1593c80","YYC","los angeles","LAX","1","true","2022-11-10 14:00:00","2022-11-13 14:00:00","0","Alaska Airlines","33.942","-118.408","358.21"
"393367-4a2964b8574b4f3193609cfa10f11cb5","SJC","calgary","YYC","1","true","2022-11-14 07:00:00","2022-11-16 07:00:00","1","Air Transat","51.114","-114.02","312.66"
"393374-f4c2c702e51b4ddb9c2a334524d8270e","YYC","milwaukee","MKE","1","true","2022-11-08 14:00:00","2022-11-16 14:00:00","0","Southwest Airlines","42.947","-87.896","430.01"
"393377-4c058390d769492cafbebfdce3c898ab","NIP","los angeles","LAX","1","true","2022-11-08 08:00:00","2022-11-11 08:00:00","1","American Airlines","33.942","-118.408","640.84"
"393381-b49dc7870ca94b7e90e116d33c91a4b8","TIK","portland","PWM","1","true","2022-11-09 13:00:00","2022-11-13 13:00:00","0","KLM Royal Dutch Airlines","45.589","-122.597","425.7"
"393382-e8f49a22abdb4e6d86204c5650dc2ce3","JFK","nashville","BNA","1","true","2022-11-14 07:00:00","2022-11-19 07:00:00","0","Southwest Airlines","36.124","-86.678","214.14"
"393383-5bcd300797084999b9832b7a2c58ae04","YED","san antonio","SAT","1","true","2022-11-09 13:00:00","2022-11-13 13:00:00","0","Delta Air Lines","29.529","-98.279","520.18"
"393389-92a9045429424727855ca6c5c7b378d6","STL","seoul","GMP","2","true","2022-12-30 19:00:00","2023-01-11 19:00:00","2","EVA Air","37.558","126.791","3665.46"
"393390-8b40614c2de94005873a5497398bae08","DEN","toronto","YKZ","1","true","2022-11-12 07:00:00","2022-11-15 07:00:00","2","Ryanair","43.862","-79.37","377.12"
"393391-4f4bb5adf9fb4f6d9c468c25378763da","ATL","chicago","ORD","1","true","2022-11-13 14:00:00","2022-11-16 14:00:00","0","United Airlines","41.786","-87.752","177.51"
"393392-15b31950d3614d0582c0c3280580dc21","DEN","indianapolis","IND","1","true","2022-11-08 11:00:00","2022-11-11 11:00:00","0","Delta Air Lines","39.717","-86.294","282.84"
"393396-ebbebbd86f4f482e82250ebdf8530dfa","UGN","fresno","FAT","1","true","2022-11-15 07:00:00","2022-11-18 07:00:00","0","Allegiant Air","36.776","-119.718","474.28"
"393397-19a0f0764eec40978a86ee17aa38c620","MOD","ottawa","YOW","1","true","2022-11-10 16:00:00","2022-11-13 16:00:00","1","United Airlines","45.323","-75.669","697.77"
"393400-0316ff82175b4b0b9f3180f25879f4b0","MCO","montreal","YHU","1","false","2022-11-11 09:00:00","","0","Ryanair","45.517","-73.417","156.51"
"393403-02a33d6c30f042c3a0bc0ca0ac5fbed1","BFL","new york","LGA","1","true","2022-11-09 15:00:00","2022-11-11 15:00:00","0","JetBlue Airways","40.64","-73.779","696.94"
"393407-2c3f1ff2b1b44c4c9377200bac931001","DCA","el paso","BIF","2","true","2022-11-09 07:00:00","2022-11-11 07:00:00","0","Ryanair","31.849","-106.38","973.57"
"393412-c6ae8655ae044cbda3966d19fd5b009d","JFK","dallas","DAL","1","true","2022-11-10 07:00:00","2022-11-12 07:00:00","0","United Airlines","32.847","-96.852","399.17"
"393413-e28e9b277d6f47a0a7147a9dfc3acf52","YOW","washington","DCA","1","true","2022-11-11 14:00:00","2022-11-14 14:00:00","1","Allegiant Air","38.852","-77.037","124.97"
"393421-9103d6d0afd94394a57a4a1c0079f3c2","ORD","houston","EFD","1","true","2022-11-08 11:00:00","2022-11-12 11:00:00","0","United Airlines","29.607","-95.159","285.6"
"393422-f357fa1d121942dca04e602e47fcfe82","TUL","new york","LGA","1","true","2022-11-11 10:00:00","2022-11-20 10:00:00","0","American Airlines","40.64","-73.779","328.18"
"393425-fe3cbf7c9d7c4163bc0ddbe73ed69c77","TIK","san diego","SAN","1","true","2022-11-09 07:00:00","2022-11-14 07:00:00","0","Alaska Airlines","32.699","-117.215","299.59"
