"trip_id","hotel_name","nights","rooms","check_in_time","check_out_time","hotel_per_room_usd"
"234666-99574aa53f30402ba04bfe2f3337c566","NH Hotel  - new york","2","1","2023-01-20 11:46:41.16","2023-01-22 11:00:00","226"
"234707-4c0cfdb5ff4a4cd8bda5feed22f790d7","Extended Stay  - toronto","1","1","2023-01-19 15:38:40.11","2023-01-21 11:00:00","114"
"234745-a8f944dc121c4003b16c108c9c590965","Shangri-La - edmonton","3","1","2023-01-19 13:05:43.98","2023-01-23 11:00:00","322"
"234905-c1e14087ef1f4a7a8413a12ef4208135","NH Hotel  - memphis","2","1","2023-01-16 11:50:56.985","2023-01-18 11:00:00","228"
"235101-cd0e752033db4f488fa75b5eb8feb2c8","Aman Resorts - jacksonville","1","1","2023-01-16 17:09:21.375","2023-01-18 11:00:00","163"
"235466-d3ce3073e1b94fa6afd0d16681bf855b","Extended Stay  - los angeles","10","1","2023-01-24 11:00:00","2023-02-03 11:00:00","137"
"235525-9bdb801b2ad6473cbc5b68a8236f77cb","Banyan Tree  - new york","1","1","2023-01-21 10:19:04.89","2023-01-22 11:00:00","154"
"235546-3cfee4aca374423bb16efec362cb74c0","Accor - baltimore","4","1","2023-01-19 11:00:00","2023-01-23 11:00:00","72"
"235575-70fa755e9ff8430b899f90b652739269","Marriott  - quebec","4","1","2023-01-17 19:47:43.395","2023-01-22 11:00:00","50"
"235589-c67d17ea71c941c39493692f9041dab6","Aman Resorts - philadelphia","4","1","2023-01-16 15:24:06.66","2023-01-21 11:00:00","533"
"235605-8137ab0aa90441b4bb3a3b5abc80e153","Extended Stay  - columbus","1","1","2023-01-22 15:56:33.99","2023-01-24 11:00:00","123"
"235783-195ab304f4434861a3466411e4c1c625","InterContinental  - new york","5","1","2023-01-17 15:54:53.1","2023-01-23 11:00:00","133"
"235794-30dbb30a831741b0a65b034bedcfaad6","Shangri-La - new york","7","1","2023-01-16 14:03:33.57","2023-01-24 11:00:00","258"
"236399-ac366c75ed744514ac84421da77112d1","Aman Resorts - denver","2","1","2023-01-18 13:15:56.97","2023-01-21 11:00:00","216"
"236443-1eafb7b564bd45ed9f51073515d906b0","Radisson  - dallas","1","1","2023-01-20 21:19:42.69","2023-01-22 11:00:00","181"
"236463-5efec40acc394516917779ebb1d434d2","Rosewood - los angeles","2","1","2023-01-17 14:18:14.13","2023-01-20 11:00:00","99"
"236774-c3bc3864637c4174a71e618119136a33","Hilton - new york","2","1","2023-01-17 13:57:17.775","2023-01-20 11:00:00","92"
"236776-a14c6902d70041c58f7dfa6f87f5356b","Shangri-La - istanbul","12","3","2023-06-01 22:30:44.64","2023-06-14 11:00:00","88"
"236978-a7531bfa59f6408c8bad1ec7257107c9","Choice Hotels - memphis","1","1","2023-01-17 15:13:41.295","2023-01-19 11:00:00","163"
"237116-3acbcdc6c3b0492a928c78a7d052229c","Hyatt - washington","1","1","2023-01-20 11:01:50.385","2023-01-21 11:00:00","40"
"237214-f8ca3f15a9934c929482f78c1441bab8","Accor - edmonton","7","1","2023-01-18 22:05:43.98","2023-01-26 11:00:00","94"
"237258-391cb1ca2b7a4fa9927d04017b3acc15","Radisson  - houston","-1","1","2023-01-24 12:48:21.285","2023-01-24 11:00:00","185"
"237795-ccfcc339ef1045cbb30716dbd27525fb","Banyan Tree  - jacksonville","1","2","2023-01-20 13:09:16.965","2023-01-22 11:00:00","276"
"237864-f0d330ef1abe4896919afb1e0e22026d","Hyatt - phoenix","1","2","2023-01-21 11:04:16.5","2023-01-22 11:00:00","446"
"238089-68c526d368054868a99d5065fbdf568b","Starwood  - new york","0","1","2023-01-18 12:18:01.08","2023-01-19 11:00:00","182"
"238184-e64a0791cc0642dcb001344de092d950","Rosewood - new york","1","1","2023-01-22 09:09:06.435","2023-01-23 11:00:00","231"
"238214-608d4a4dc4724b99a2d4c8e7711cc227","Crowne Plaza - san jose","2","1","2023-01-18 15:22:08.805","2023-01-21 11:00:00","297"
"238260-380f3843bb44445dba4bb3bbe7f840df","Four Seasons - montreal","2","1","2023-01-21 11:00:00","2023-01-23 11:00:00","81"
"238452-9af62bbce1734fd09edb2b56b89a575e","Hilton - san francisco","2","1","2023-01-17 19:42:10.845","2023-01-20 11:00:00","235"
"238480-61030b127bf144d8bced75907c18975d","Wyndham - chicago","1","1","2023-01-18 16:43:51.375","2023-01-20 11:00:00","87"
"238541-542f919a33ec4dceb3e64895a96d7224","Accor - austin","0","1","2023-01-21 15:16:54.435","2023-01-22 11:00:00","107"
"238700-dac1121046e04fcfa131fcddcddbbadf","Aman Resorts - phoenix","6","1","2023-01-17 12:15:33.66","2023-01-24 11:00:00","92"
"238814-f2b7164f665144a2a86b7ef99142d116","InterContinental  - edmonton","5","1","2023-01-14 11:00:00","2023-01-19 11:00:00","314"
"239100-a02833c3905d4b5baffc9e307081cc87","Hilton - chicago","4","1","2023-01-18 18:27:17.775","2023-01-23 11:00:00","125"
"239390-899c3fafd17240cb930fdf518798c950","Choice Hotels - chicago","2","1","2023-01-17 13:53:57.21","2023-01-20 11:00:00","64"
"239490-bb49aa8dc37a447bbef8052fe17c9006","Starwood  - ho chi minh city","6","2","2023-06-02 02:24:44.19","2023-06-08 11:00:00","162"
"239498-160ca059a83e4276babddb9a8724d947","Extended Stay  - los angeles","12","1","2023-01-20 11:29:34.575","2023-02-01 11:00:00","141"
"239571-7b6b70146cb3404ebe464ac993de9149","Crowne Plaza - las vegas","0","1","2023-01-30 16:05:33.585","2023-01-31 11:00:00","204"
"239651-815ee75d8f394cc0bc9b8911a13009c5","Marriott  - boston","6","3","2023-01-17 14:25:35.67","2023-01-24 11:00:00","79"
"239701-dc4d7e1f93524b12a9af9496486067d2","Aman Resorts - philadelphia","5","1","2023-01-20 09:33:45.54","2023-01-25 11:00:00","296"
"240126-2fefd2e8278f4c8cb4c1604ea2580769","NH Hotel  - fresno","16","3","2023-06-29 13:57:17.775","2023-07-16 11:00:00","164"
"240151-f62f2ed1a04d4c92bbef12531e1a930c","Banyan Tree  - los angeles","0","1","2023-01-22 09:37:10.74","2023-01-22 11:00:00","175"
"240205-115a0e4405784b06b68e81c8300fdeee","Four Seasons - san francisco","1","1","2023-01-22 21:42:10.845","2023-01-24 11:00:00","141"
"240281-0d5782a31f7a48b8b36782503fc821bb","Aman Resorts - hamilton","4","1","2023-01-16 13:19:53.175","2023-01-21 11:00:00","217"
"240432-682f74c4b859456394ce73f2eb762cf0","InterContinental  - oklahoma city","4","1","2023-01-18 17:22:54.795","2023-01-23 11:00:00","125"
"240478-2445d75803c14ab4854b20220b1d8198","Rosewood - houston","1","1","2023-01-17 15:54:08.685","2023-01-19 11:00:00","125"
"240505-f25107290e4f469ca3211313af67b334","Shangri-La - toronto","3","1","2023-01-15 11:00:00","2023-01-18 11:00:00","315"
"241008-2d4f8b48c9984ab4a7e14f411f4a2e93","Crowne Plaza - columbus","1","2","2023-01-22 13:40:45.345","2023-01-24 11:00:00","44"
"241018-d13fe4e5d0c24876993229aa52478333","Extended Stay  - houston","5","1","2023-01-15 11:00:00","2023-01-20 11:00:00","146"
"241358-eb0f2eeeb89e42f6a0921120471ac8da","Conrad  - san antonio","1","1","2023-01-20 20:43:04.305","2023-01-22 11:00:00","172"
"241429-07b91f9f4e1441a7852c1f22c129953b","Hilton - calgary","6","1","2023-01-17 11:00:00","2023-01-23 11:00:00","221"
"241430-d10599cf492c4d8986e69503e39c4a77","Hilton - brussels","17","1","2023-05-03 17:31:12.27","2023-05-21 11:00:00","144"
"241499-295fe5e343f14ba994b04a0c1ac3fb7d","Best Western - san diego","4","1","2023-01-20 16:13:17.265","2023-01-25 11:00:00","72"
"241547-fedcc267285641f19c6a253257aca38c","Banyan Tree  - new york","2","2","2023-01-18 12:03:48.825","2023-01-21 11:00:00","26"
