"user_id","gender","age","married","has_children","actual_trips","avg_click","session_count","num_flights","avg_time_btw_booking_departure","avg_checked_baggage","frequency_of_discount_flight","frequency_hotel_discount","booked_seats","total_rooms","total_nights","hotel_booking_count","total_flight_price","total_hotel_price","rfm_recency","rfm_frequency","monetary_value","rfm_frequency_quartile","rfm_recency_quartile","rfm_monetary_quartile","rfm_rank","user_type","perks"
"23557","F","65","true","false","2","10.25","8","0","0","0.00","8","1","0","3","20","2","0","288.25","44","8","288.25","3","1","4","4","Gold Members","Business Travelers - Hotel Only (Free breakfast)"
"94883","F","52","true","false","2","9.13","8","4","2","0.50","8","0","3","3","1","2","864.09","180","91","8","1044.09","2","4","3","3","Gold Members","Business Travelers - Hotel Only (Free breakfast)"
"101486","F","51","true","true","2","16.38","8","2","1","0.00","8","0","1","3","8","2","189.91","397","40","8","586.91","3","1","4","4","Gold Members","Family Travelers - Flight Only(Free Cancellation & Rescheduling)"
"101961","F","43","true","false","5","15.75","8","10","4","0.40","8","0","5","5","19","5","1242.66","680","66","8","1917.693","1","3","2","2","Platinum Members","Business Travelers - Flight Only(Executive lounge access)"
"106907","F","45","true","true","1","30.00","8","4","50","5.00","8","0","12","0","0","0","27804.12","0","31","8","27804.12","4","1","1","1","Silver Members","Family Travelers - Hotel&Flight(1 Complimentary Family Dinner)"
"118043","F","52","false","true","5","20.50","8","6","3","1.00","8","3","6","5","22","5","2339.29","875.40","43","8","3214.69","4","1","1","1","Silver Members","Family Travelers - Hotel&Flight(1 Complimentary Family Dinner)"
"120851","F","51","true","true","1","6.88","8","2","1","0.00","8","0","1","1","11","1","384.68","182","76","8","566.68","3","3","4","4","Silver Members","Family Travelers - Hotel&Flight(1 Complimentary Family Dinner)"
"125845","F","40","true","false","3","17.67","9","6","3","0.67","9","0","4","4","5","3","1753.32","371","38","9","2017.7630","1","1","2","2","Platinum Members","Business Travelers - Flight Only(Executive lounge access)"
"133058","F","19","false","false","1","9.13","8","2","1","0.00","8","0","1","0","0","1","423.51","0","42","8","423.51","3","1","4","4","Gold Members","Young and Free - Flight Only (Priority boarding)"
"149058","F","51","false","true","5","17.75","8","10","4","0.40","8","0","6","6","25","5","1928.66","843","69","8","2762.1325","4","3","1","1","Silver Members","Family Travelers - Hotel&Flight(1 Complimentary Family Dinner)"
"152583","F","38","false","false","1","18.63","8","2","1","2.00","8","0","1","1","2","1","367.83","213","83","8","580.83","3","3","4","4","Silver Members","30% first timer welcome discount"
"153982","F","45","false","true","3","18.75","8","6","3","0.33","8","0","3","3","4","3","656.87","621","38","8","1277.87","2","1","3","3","Platinum Members","Family Travelers - Hotel Only(Family event voucher)"
"160754","F","46","true","true","1","10.75","8","2","1","1.00","8","0","1","1","2","1","93.62","214","62","8","307.62","3","2","4","4","Gold Members","Family Travelers - Flight Only(Free Cancellation & Rescheduling)"
"164522","F","48","true","false","1","11.13","8","2","1","1.00","8","0","1","1","13","1","328.32","233","44","8","544.9040","3","1","4","4","Gold Members","Business Travelers - Hotel Only (Free breakfast)"
"167852","F","18","false","false","0","7.88","8","0","0","0.00","8","0","0","0","0","0","0","0","124","8","0","4","4","4","4","Basic Members (No Bookings)","30% first timer welcome discount"
"171470","F","24","false","false","2","55.75","8","6","68","0.33","8","0","4","0","0","0","11038.07","0","48","8","10750.245","4","1","1","1","Silver Members","Young and Free - Hotel&Flight (20% hotel discount)"
"174997","F","32","false","false","3","31.50","8","6","3","0.33","8","0","4","2","4","2","3226.49","224","43","8","3450.49","4","1","1","1","Silver Members","Business Travelers - Hotel&Flight(Room upgrade)"
"175032","F","29","false","false","3","14.11","9","4","1","0.50","9","1","4","6","13","3","1109.25","394.35","38","9","1503.60","1","1","2","2","Platinum Members","Young and Free - Hotel Only (10% hotel discount)"
"181157","F","53","true","false","3","19.13","8","6","2","1.00","8","1","6","6","10","3","1039.43","471.40","51","8","1430.4255","2","2","2","2","Platinum Members","Business Travelers - Flight Only(Executive lounge access)"
"182191","F","19","false","true","1","18.50","8","2","2","1.00","8","0","2","0","0","0","537.67","0","54","8","537.67","3","2","4","4","Gold Members","30% first timer welcome discount"
"187212","F","55","true","true","3","16.00","8","6","3","0.67","8","0","3","3","6","3","1242.57","652","79","8","1894.57","1","3","2","2","Platinum Members","Family Travelers - Hotel Only(Family event voucher)"
"189676","F","36","false","true","2","11.63","8","2","0","2.00","8","0","3","4","18","2","1244.31","361","116","8","1605.31","2","4","2","2","Gold Members","Family Travelers - Flight Only(Free Cancellation & Rescheduling)"
"190866","F","37","false","false","5","20.67","9","10","4","0.40","9","0","5","5","9","5","2081.00","846","55","9","2927.00","1","2","1","1","Platinum Members","Business Travelers - Flight Only(Executive lounge access)"
"195192","F","28","false","false","1","28.13","8","2","2","0.00","8","0","2","2","1","1","394.29","160","90","8","554.29","3","4","4","4","Silver Members","Young and Free - Hotel&Flight (20% hotel discount)"
"204943","M","41","false","false","6","36.50","8","14","49","1.29","8","0","10","8","14","5","3331.76","769","30","8","4074.002","4","1","1","1","Silver Members","30% first timer welcome discount"
"204997","F","38","true","false","4","54.88","8","10","9","0.60","8","0","8","1","4","2","4955.63","71","48","8","4905.8150","4","1","1","1","Silver Members","Business Travelers - Hotel&Flight(Room upgrade)"
"205044","F","40","true","true","3","14.89","9","6","2","0.33","9","0","6","6","14","3","2748.35","748","81","9","3468.6975","1","3","1","1","Platinum Members","Family Travelers - Hotel Only(Family event voucher)"
"206011","F","39","false","true","4","19.50","8","8","3","0.25","8","1","4","3","8","4","1046.59","340","50","8","1364.7720","2","2","2","2","Platinum Members","Family Travelers - Hotel Only(Family event voucher)"
"216796","F","23","false","false","1","15.63","8","4","49","2.00","8","0","4","0","0","0","5001.74","0","167","8","4376.5225","4","4","1","1","Silver Members","Young and Free - Hotel&Flight (20% hotel discount)"
"217114","O","20","true","true","0","6.56","9","0","0","0.00","9","0","0","0","0","0","0","0","62","9","0","1","2","4","4","Basic Members (No Bookings)","30% first timer welcome discount"
"217136","F","39","false","true","2","13.25","8","2","1","0.00","8","0","1","2","4","2","539.57","473","105","8","1012.57","2","4","3","3","Gold Members","Family Travelers - Flight Only(Free Cancellation & Rescheduling)"
"220725","F","41","false","false","4","35.11","9","10","3","0.20","9","1","5","2","7","3","2422.92","280","81","9","2702.92","1","3","1","1","Platinum Members","Business Travelers - Flight Only(Executive lounge access)"
"224996","F","43","false","true","2","12.75","8","4","2","0.00","8","0","2","1","0","2","897.61","231","108","8","1128.61","2","4","3","3","Gold Members","Family Travelers - Flight Only(Free Cancellation & Rescheduling)"
"226367","F","43","false","false","3","14.25","8","6","3","0.67","8","0","4","4","5","3","889.21","759","62","8","1642.6010","2","2","2","2","Platinum Members","Business Travelers - Flight Only(Executive lounge access)"
"228195","F","27","false","true","0","12.89","9","0","0","0.00","9","0","0","0","0","0","0","0","87","9","0","1","4","4","4","Basic Members (No Bookings)","30% first timer welcome discount"
"228872","M","35","false","false","2","15.75","8","2","1","1.00","8","0","1","2","13","2","509.21","188","42","8","697.21","3","1","3","3","Gold Members","Business Travelers - Hotel Only (Free breakfast)"
"229009","F","17","false","false","3","18.00","8","8","82","0.25","8","0","4","2","3","2","4508.89","299","50","8","4807.89","4","2","1","1","Silver Members","Young and Free - Hotel&Flight (20% hotel discount)"
"229108","F","26","false","false","1","40.13","8","4","37","0.00","8","0","2","0","0","0","877.22","0","111","8","877.22","3","4","3","3","Silver Members","Young and Free - Hotel&Flight (20% hotel discount)"
